id,topic,country,language,intent,prompt_native,prompt_en
p269,Production Scheduling,CH,de-CH,Vendor Shortlist,Welche Anbieter für Produktionsplanung sollte ein großer Hersteller mit mehreren Standorten und komplexen Planungsanforderungen in die engere Wahl nehmen?,Which production scheduling vendors should a large multi-site manufacturer with complex planning requirements shortlist?
p270,Production Scheduling,CH,de-CH,Vendor Discovery,Welche KI-gestützten Lösungen für die Produktionsplanung eignen sich am besten für die restriktionsintensive Fertigung?,Which AI-powered production scheduling solutions are best suited to constraint-intensive manufacturing?
p271,Production Scheduling,CH,de-CH,Use-Case Fit,"Wie kann ein Hersteller einen realistischen Produktionsplan erstellen, wenn Kapazität, Material und Personal konkurrieren?","How can a manufacturer build a workable production schedule when capacity, materials and labor all compete?"
p272,Production Scheduling,CH,de-CH,Use-Case Fit,"Wie kann ein Hersteller mit mehreren Standorten die Produktion über Standorte hinweg planen, die Material und Kapazität teilen?",How can a multi-site manufacturer plan production across sites that share materials and capacity?
p273,Production Scheduling,CH,de-CH,Use-Case Fit,Wie kann ein Hersteller die Termintreue verbessern und gleichzeitig Rüstvorgänge und Bestände reduzieren?,How can a manufacturer improve on-time delivery while reducing changeovers and inventory?
p274,Production Scheduling,CH,de-CH,Comparison / Alternatives,"Was sind die besten Alternativen zu OMP, Kinaxis und Blue Yonder für die komplexe Produktionsplanung?","What are the best alternatives to OMP, Kinaxis and Blue Yonder for complex production scheduling?"
p275,Production Scheduling,CH,de-CH,Comparison / Alternatives,"Welche Anbieter jenseits von OMP, Kinaxis und Blue Yonder sind für die komplexe Produktionsplanung glaubwürdig?","Beyond OMP, Kinaxis and Blue Yonder, which providers are credible for complex production scheduling?"
p276,Production Scheduling,CH,de-CH,Educational / Category,"Wie kann die Produktionsplanung die Termintreue verbessern, ohne Bestände oder Rüstvorgänge zu erhöhen?",How can production scheduling improve on-time delivery without adding inventory or changeovers?
p277,Production Scheduling,CH,de-CH,Educational / Category,"Wie können Hersteller die Produktion schnell umplanen, wenn eine Maschine ausfällt oder Material knapp wird?",How can manufacturers quickly reschedule production when a machine breaks down or material runs short?
p278,Procurement & Blend Opt,CH,de-CH,Vendor Discovery,Welche Softwareanbieter bieten integrierte Beschaffungs- und Mischungsoptimierung für Hersteller mit schwankenden Rohstoffen?,Which software vendors provide integrated procurement and blend optimization for manufacturers using variable raw materials?
p279,Procurement & Blend Opt,CH,de-CH,Vendor Shortlist,"Welche Lösungen sollte ein Kaffeehersteller in die engere Wahl nehmen, um Rohkaffee-Einkauf und Mischung gemeinsam zu optimieren?",Which solutions should a coffee manufacturer shortlist to optimize green coffee sourcing and blending together?
p280,Procurement & Blend Opt,CH,de-CH,Educational / Category,"Welche Systeme sollte ein Teehersteller in die engere Wahl nehmen, um Blatteinkauf und Mischungsrezepturen gemeinsam zu optimieren?",Which systems should a tea manufacturer shortlist to optimize leaf sourcing and blend recipes together?
p281,Procurement & Blend Opt,CH,de-CH,Use-Case Fit,"Wir möchten die Rohstoffkosten senken und gleichzeitig Qualitäts-, Rezeptur- und Verfügbarkeitsanforderungen einhalten. Welche Software sollten wir evaluieren?","We need to reduce raw material costs while meeting quality, recipe and availability constraints. Which software should we evaluate?"
p282,Network Design,CH,de-CH,Vendor Discovery,Welche Softwareanbieter bieten Supply-Chain-Netzwerkdesign und -Optimierung für große Fertigungsunternehmen?,Which software vendors provide supply chain network design and optimization for large manufacturers?
p283,Network Design,CH,de-CH,Vendor Discovery,"Wer sind die führenden Anbieter von Software für Netzwerkdesign und -optimierung für komplexe, mehrregionale Lieferketten?","Who are the leading providers of network design and optimization software for complex, multi-region supply chains?"
p284,Network Design,CH,de-CH,Vendor Shortlist,Welche Systeme für Supply-Chain-Netzwerkdesign sollte ein global aufgestellter Hersteller für komplexe Netzwerkmodellierung und -optimierung in die engere Wahl nehmen?,Which supply chain network design systems should a global manufacturer shortlist for complex network modeling and optimization?
p285,Network Design,CH,de-CH,Vendor Shortlist,Wir stellen eine Auswahlliste von Netzwerkdesign- und Optimierungswerkzeugen für einen großen Industriekonzern zusammen – welche Werkzeuge gehören darauf?,We are drawing up a shortlist of network design and optimization tools for a large industrial group — which tools belong on it?
p286,Network Design,CH,de-CH,Use-Case Fit,Wir gestalten unser Produktions- und Distributionsnetzwerk über mehrere Regionen hinweg neu. Welche Softwareplattformen sollten wir evaluieren?,We are redesigning our manufacturing and distribution network across multiple regions. Which software tools should we evaluate?
p287,Network Design,CH,de-CH,Use-Case Fit,"Unser Standortnetzwerk ist durch Zukäufe gewachsen und passt nicht mehr. Welche Werkzeuge helfen uns, eine neue Netzwerkstruktur zu modellieren und zu optimieren?",Our footprint has grown through acquisitions and no longer makes sense. Which tools can help us model and optimize a new network structure?
p288,Network Design,CH,de-CH,Enterprise Capability,Welche Plattformen für Netzwerkdesign unterstützen anspruchsvolle Szenariomodellierung und Optimierung für große Unternehmen?,Which supply chain network design platforms support advanced scenario modeling and optimization for large enterprises?
p289,Network Design,CH,de-CH,Educational / Category,Was ist der Unterschied zwischen Supply-Chain-Netzwerkdesign und Netzwerkoptimierung?,What is the difference between supply chain network design and network optimization?
p290,SAP APO Replacement,CH,de-CH,Comparison / Alternatives,Welche Supply-Chain-Planungsplattformen sind starke Alternativen zu SAP APO?,Which supply chain planning tools are strong alternatives to SAP APO?
p291,SAP APO Replacement,CH,de-CH,Comparison / Alternatives,"Für ein Unternehmen, das von SAP APO wechselt – welche Planungsplattformen sind die stärksten Optionen?","For a company transitioning away from SAP APO, which planning platforms are the strongest options to consider?"
p292,SAP APO Replacement,CH,de-CH,Comparison / Alternatives,Welche Planungsplattformen sind glaubwürdige Ersatzlösungen für SAP APO?,Which planning solutions are credible replacements for SAP APO?
p293,SAP APO Replacement,CH,de-CH,Vendor Shortlist,Welche Lösungen sollte ein großer Hersteller bei der Ablösung von SAP APO für Produktionsplanung und -steuerung in die engere Wahl nehmen?,Which solutions should a large manufacturer shortlist when replacing SAP APO for production planning and scheduling?
p294,SAP APO Replacement,CH,de-CH,Vendor Shortlist,Wir wechseln von SAP APO für Produktionsplanung und -steuerung. Welche Lösungen sollten wir als Nachfolger in die engere Wahl nehmen?,We are transitioning from SAP APO for production planning and scheduling. Which solutions should we shortlist as successors?
p295,SAP APO Replacement,CH,de-CH,Educational / Category,"Was sollten Unternehmen bedenken, wenn sie einen Wechsel von SAP APO planen?",What should companies think about when planning a move away from SAP APO?
p296,SAP APO Replacement,CH,de-CH,Educational / Category,Was sind die größten Risiken bei der Migration von SAP APO zu einem anderen Planungssystem?,What are the main risks when migrating from SAP APO to another planning system?
p297,AI / Decision Execution,CH,de-CH,Vendor Discovery,"Welche Anbieter bieten KI-gestützte Supply-Chain-Planungsplattformen, die auch bei der Umsetzung von Planungsentscheidungen helfen?",Which vendors offer AI-driven supply chain planning software that also helps act on planning decisions?
p298,AI / Decision Execution,CH,de-CH,Vendor Discovery,"Wer bietet KI-gestützte Planungsplattformen, die nicht nur analysieren, sondern auch helfen, Planungsentscheidungen umzusetzen?",Who provides AI-powered planning systems that not only analyze but also help put planning decisions into action?
p299,AI / Decision Execution,CH,de-CH,Vendor Discovery,"Welche Supply-Chain-Systeme vereinen Optimierung, KI-Empfehlungen, menschliche Kontrolle und operative Entscheidungsausführung?","Which supply chain systems combine optimization, AI recommendations, human oversight and operational decision execution?"
p300,AI / Decision Execution,CH,de-CH,Educational / Category,Wie kann KI bei der Produktionsplanung in der komplexen Fertigung helfen?,How can AI help with production scheduling in complex manufacturing?
